,energia,zywnosc,metale,budownictwo,OBFITOSC_per_capita,AUV_koszt,dostepnosc(1/AUV)
1996,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1997,100.0,100.0,100.3,100.3,100.1,95.2,105.0
1998,99.4,100.8,103.5,102.9,101.6,85.0,117.7
1999,98.6,104.5,107.1,100.7,102.7,79.6,125.7
2000,99.2,105.0,110.1,102.1,104.0,81.7,122.4
2001,99.8,163.0,112.8,106.3,118.2,78.5,127.4
2002,99.5,172.9,113.1,107.8,120.4,80.6,124.1
2003,100.5,174.8,114.9,113.3,123.0,79.9,125.2
2004,102.9,184.3,118.5,121.0,128.4,94.2,106.1
2005,105.7,180.2,123.9,129.1,132.1,102.8,97.3
2006,107.3,183.0,128.1,136.4,136.1,120.6,82.9
2007,109.1,182.2,131.4,148.5,140.3,132.8,75.3
2008,110.5,178.8,138.8,157.8,144.2,137.0,73.0
2009,110.4,177.8,139.5,157.3,144.0,110.9,90.2
2010,108.6,177.7,136.5,156.4,142.4,122.7,81.5
2011,112.9,170.6,142.4,171.3,147.2,147.3,67.9
2012,113.3,176.3,145.0,183.2,151.8,121.9,82.0
2013,113.3,165.9,149.0,187.7,151.4,112.3,89.1
2014,113.7,163.9,157.4,196.8,155.0,103.6,96.5
2015,113.6,162.0,165.4,197.3,156.5,91.3,109.5
2016,112.4,161.3,172.0,190.8,156.2,87.4,114.5
2017,112.1,159.4,177.1,191.4,156.9,95.7,104.4
2018,113.4,157.5,176.6,193.1,157.1,93.7,106.7
2019,114.8,155.8,181.7,195.4,158.7,88.1,113.5
2020,114.5,154.2,178.5,196.4,157.7,88.0,113.7
2021,111.1,152.7,180.0,197.7,156.8,115.2,86.8
2022,116.3,151.5,182.8,204.3,160.2,140.8,71.0
2023,116.3,150.2,186.9,191.7,158.2,116.8,85.6
2024,117.2,148.7,189.3,190.1,158.2,105.0,95.3
2025,117.2,147.4,192.5,187.9,158.1,100.4,99.6
