,dochod_pc,R_dynamiczne_energia,cena_energia,ilosc_pc_energia,R_dynamiczne_zywnosc,cena_zywnosc,ilosc_pc_zywnosc,R_dynamiczne_metale,cena_metale,ilosc_pc_metale,R_dynamiczne_budownictwo,cena_budownictwo,ilosc_pc_budownictwo,AUV_potrzeby_standard,AUV_potrzeby_przetrwanie
1996,100.0,True,100.0,100.0,True,100.0,100.0,True,100.0,100.0,True,100.0,100.0,100.0,100.0
1997,99.852,True,87.075,99.96,True,87.012,100.042,True,98.874,100.267,True,102.172,100.261,93.797,93.673
1998,98.09,True,68.408,99.434,True,78.047,100.833,True,82.176,103.47,True,102.791,102.857,84.91,83.544
1999,96.578,True,73.061,98.567,True,61.083,104.5,True,82.992,107.142,True,100.826,100.655,83.097,80.942
2000,98.231,True,79.545,99.203,True,56.375,104.97,True,90.89,110.068,True,101.8,102.131,84.986,81.704
2001,100.033,True,81.817,99.832,True,54.951,163.02,True,79.716,112.814,True,98.761,106.284,91.134,77.107
2002,98.463,True,82.165,99.546,True,67.72,172.883,True,76.815,113.074,True,101.53,107.829,99.21,82.431
2003,101.63,True,90.601,100.487,True,74.97,174.807,True,88.634,114.909,True,104.575,113.279,107.779,87.648
2004,112.568,True,147.786,102.936,True,80.977,184.254,True,126.958,118.541,True,122.835,121.033,133.357,103.831
2005,124.06,True,185.73,105.662,True,70.654,180.191,True,150.567,123.872,True,133.875,129.14,135.801,102.797
2006,132.672,True,237.722,107.278,True,81.603,183.021,True,227.284,128.05,True,148.51,136.402,164.077,120.572
2007,143.351,True,348.869,109.091,True,119.69,182.168,True,293.877,131.449,True,158.275,148.511,205.527,146.445
2008,159.18,True,410.806,110.492,True,157.044,178.827,True,269.62,138.793,True,174.986,157.782,212.819,147.558
2009,170.566,True,263.427,110.357,True,116.536,177.764,True,218.59,139.477,True,149.921,157.311,150.396,104.414
2010,161.698,True,315.535,108.568,True,130.015,177.704,True,314.073,136.453,True,160.515,156.382,187.86,131.884
2011,173.805,True,406.376,112.866,True,178.442,170.612,True,352.795,142.387,True,167.839,171.338,216.831,147.281
2012,191.122,True,356.224,113.294,True,177.426,176.254,True,293.495,145.025,True,164.411,183.213,186.614,122.958
2013,193.009,True,313.689,113.316,True,159.464,165.865,True,284.973,148.953,True,163.2,187.686,172.276,113.787
2014,195.833,True,272.101,113.716,True,139.361,163.883,True,277.656,157.383,True,169.181,196.794,162.603,104.905
2015,197.156,True,214.588,113.55,True,110.172,162.033,True,214.102,165.403,True,161.318,197.344,134.222,85.74
2016,185.083,True,189.215,112.415,True,105.909,161.286,True,211.097,172.019,True,161.502,190.813,136.433,87.351
2017,185.866,True,210.796,112.129,True,105.555,159.418,True,256.687,177.078,True,175.632,191.359,150.212,95.75
2018,196.614,True,252.581,113.418,True,108.701,157.482,True,268.889,176.639,True,188.146,193.132,154.268,98.189
2019,206.084,True,224.588,114.753,True,103.142,155.795,True,260.417,181.706,True,184.057,195.401,140.595,88.576
2020,206.525,True,181.574,114.522,True,114.219,154.185,True,253.67,178.518,True,179.121,196.404,133.819,84.836
2021,201.434,True,302.669,111.145,True,172.667,152.697,True,365.791,180.002,True,239.014,197.656,202.327,129.07
2022,225.676,True,506.43,116.296,True,206.776,151.535,True,376.325,182.842,True,258.572,204.323,225.514,140.785
2023,233.097,True,396.133,116.3,True,163.262,150.226,True,331.864,186.899,True,256.411,191.655,184.812,116.847
2024,241.689,True,403.828,117.165,True,135.9,148.718,True,330.896,189.305,True,254.164,190.054,170.647,107.845
2025,248.27,True,333.899,117.165,True,133.436,147.416,True,335.613,192.509,True,258.407,187.874,158.763,100.423
