,kat_energia,kat_zywnosc,kat_metale,kat_budownictwo,koszyk_nominalny,dochod_glob_per_capita,AUV_T,CPI_USA,M2_USA
1996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1997,87.075,87.012,98.874,102.172,93.534,98.244,95.207,102.338,105.277
1998,68.408,78.047,82.176,102.791,81.948,96.425,84.986,103.921,112.807
1999,73.061,61.083,82.992,100.826,78.172,98.231,79.581,106.2,121.164
2000,79.545,56.375,90.89,101.8,80.259,98.231,81.704,109.775,128.51
2001,81.817,54.951,79.716,98.761,77.132,98.255,78.502,112.867,139.689
2002,82.165,67.72,76.815,101.53,81.164,100.72,80.583,114.668,150.127
2003,90.601,74.97,88.634,104.575,89.076,111.51,79.882,117.303,160.583
2004,147.786,80.977,126.958,122.835,116.881,124.06,94.213,120.432,168.247
2005,185.73,70.654,150.567,133.875,127.53,124.06,102.797,124.486,175.413
2006,237.722,81.603,227.284,148.51,159.965,132.672,120.572,128.497,184.629
2007,348.869,119.69,293.877,158.275,209.93,158.048,132.827,132.186,195.98
2008,410.806,157.044,269.62,174.986,234.884,171.485,136.97,137.228,209.284
2009,263.427,116.536,218.59,149.921,178.095,160.584,110.905,136.789,226.157
2010,315.535,130.015,314.073,160.515,213.254,173.805,122.697,139.027,231.851
2011,406.376,178.442,352.795,167.839,255.982,173.805,147.281,143.392,248.931
2012,356.224,177.426,293.495,164.411,235.0,192.77,121.907,146.365,270.153
2013,313.689,159.464,284.973,163.2,219.62,195.609,112.275,148.511,288.348
2014,272.101,139.361,277.656,169.181,205.439,198.267,103.617,150.91,306.103
2015,214.588,110.172,214.102,161.318,169.042,185.083,91.333,151.093,323.8
2016,189.215,105.909,211.097,161.502,161.672,185.083,87.351,153.008,345.729
2017,210.796,105.555,256.687,175.632,177.966,185.866,95.75,156.269,365.287
2018,252.581,108.701,268.889,188.146,193.052,205.982,93.723,160.08,379.234
2019,224.588,103.142,260.417,184.057,182.541,207.196,88.101,162.983,398.596
2020,181.574,114.219,253.67,179.121,175.207,199.212,87.95,165.025,474.565
2021,302.669,172.667,365.791,239.014,259.991,225.676,115.206,172.75,550.771
2022,506.43,206.776,376.325,258.572,317.717,225.676,140.785,186.555,579.449
2023,396.133,163.262,331.864,256.411,272.368,233.097,116.847,194.254,559.659
2024,403.828,135.9,330.896,254.164,260.648,248.27,104.986,199.988,566.772
2025,333.899,133.436,335.613,258.407,249.321,248.27,100.423,205.256,588.988
